"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 11., RadiusMean : 10.801408993550961, NReferenceVertices : 20., CLog_Mean : 1.6468784933574678, CLog_SD : 0.22401847075983136, MeanShellSize_Mean : 62.65, MeanShellSize_SD : 8.934115571931649, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.143785849821646, MeanLogShellSize_SD : 0.1433793049840661, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.226023581867808, MeanLogMultiplicityByShell_SD : 0.49210731646326555, StdLogMultiplicityByShell_Mean : 1.4762196040208009, StdLogMultiplicityByShell_SD : 0.21502956105171386, Degree_Mean : 13.9, Degree_SD : 3.7542957851114056, ClusteringCoefficient_Mean : 0.6042255048872694, ClusteringCoefficient_SD : 0.07931053159326001}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 9., RadiusMean : 9.031162501070822, NReferenceVertices : 20., CLog_Mean : 1.8103937742366043, CLog_SD : 0.23892104551240467, MeanShellSize_Mean : 84.05, MeanShellSize_SD : 8.947066558375433, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.437961347054275, MeanLogShellSize_SD : 0.10558695560016644, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.5014028489040085, MeanLogMultiplicityByShell_SD : 0.47058741143142424, StdLogMultiplicityByShell_Mean : 1.6242444335771886, StdLogMultiplicityByShell_SD : 0.22939035249523182, Degree_Mean : 18.75, Degree_SD : 4.024595435699423, ClusteringCoefficient_Mean : 0.5834602370453763, ClusteringCoefficient_SD : 0.06846749791329453}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 11., RadiusMean : 10.801408993550961, NReferenceVertices : 20., CLog_Mean : 1.7788138376794613, CLog_SD : 0.2426800266610628, MeanShellSize_Mean : 64.3, MeanShellSize_SD : 8.272338178977478, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.170938572812882, MeanLogShellSize_SD : 0.13219598205374625, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.447035723242842, MeanLogMultiplicityByShell_SD : 0.4097907801024708, StdLogMultiplicityByShell_Mean : 1.597176625953473, StdLogMultiplicityByShell_SD : 0.23635440828171148, Degree_Mean : 17.7, Degree_SD : 1.4903196407411894, ClusteringCoefficient_Mean : 0.6831776745786033, ClusteringCoefficient_SD : 0.06933383932427936}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 7., RadiusMean : 7.48126482755278, NReferenceVertices : 20., CLog_Mean : 1.695088294583505, CLog_SD : 0.12685655202367344, MeanShellSize_Mean : 83.5, MeanShellSize_SD : 8.13375034881463, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.432195914534073, MeanLogShellSize_SD : 0.09883215148338663, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.2804584809988575, MeanLogMultiplicityByShell_SD : 0.22549572774728247, StdLogMultiplicityByShell_Mean : 1.5247893406368291, StdLogMultiplicityByShell_SD : 0.12965565931143633, Degree_Mean : 17.25, Degree_SD : 1.1180339887498947, ClusteringCoefficient_Mean : 0.5622303921568627, ClusteringCoefficient_SD : 0.08539630737196618}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 2., RadiusMean : 3.427538710837974, NReferenceVertices : 20., CLog_Mean : 1.7304783992884563, CLog_SD : 0.18674091058757458, MeanShellSize_Mean : 94.4, MeanShellSize_SD : 9.821565959394501, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.553073175369182, MeanLogShellSize_SD : 0.10256485238351037, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.1154853523205466, MeanLogMultiplicityByShell_SD : 0.26707305961097255, StdLogMultiplicityByShell_Mean : 1.5667761407382201, StdLogMultiplicityByShell_SD : 0.17761561174235765, Degree_Mean : 19.6, Degree_SD : 2.1373865005261865, ClusteringCoefficient_Mean : 0.585444510340021, ClusteringCoefficient_SD : 0.06922102599097266}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 5., RadiusMean : 5.8112576506077795, NReferenceVertices : 20., CLog_Mean : 1.7632376190755328, CLog_SD : 0.16571140959420053, MeanShellSize_Mean : 85.2, MeanShellSize_SD : 9.84939218001748, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.450485840928752, MeanLogShellSize_SD : 0.11409769342437487, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.3319109214080798, MeanLogMultiplicityByShell_SD : 0.22461266346071784, StdLogMultiplicityByShell_Mean : 1.5888116982322356, StdLogMultiplicityByShell_SD : 0.16221908633237997, Degree_Mean : 17.95, Degree_SD : 1.5719582155957414, ClusteringCoefficient_Mean : 0.5865904958474617, ClusteringCoefficient_SD : 0.0880975501406866}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 1., RadiusMean : 2.5784246837913063, NReferenceVertices : 20., CLog_Mean : 1.730386405738853, CLog_SD : 0.13626818556830633, MeanShellSize_Mean : 94.4, MeanShellSize_SD : 9.686670168193423, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.553104186462084, MeanLogShellSize_SD : 0.10280611704338959, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.105409627567565, MeanLogMultiplicityByShell_SD : 0.2749833269585665, StdLogMultiplicityByShell_Mean : 1.5623178067256687, StdLogMultiplicityByShell_SD : 0.12418451273296043, Degree_Mean : 18.05, Degree_SD : 2.3725402775129134, ClusteringCoefficient_Mean : 0.6220989064442086, ClusteringCoefficient_SD : 0.0676858052899535}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 12., RadiusMean : 11.459356400005953, NReferenceVertices : 20., CLog_Mean : 1.690302956875962, CLog_SD : 0.18091995174341344, MeanShellSize_Mean : 63.8, MeanShellSize_SD : 9.168596288131399, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.162018168098188, MeanLogShellSize_SD : 0.1391543604724998, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.516137007520244, MeanLogMultiplicityByShell_SD : 0.4420850936223825, StdLogMultiplicityByShell_Mean : 1.508898563526277, StdLogMultiplicityByShell_SD : 0.1883581262568995, Degree_Mean : 16.75, Degree_SD : 1.069923755276638, ClusteringCoefficient_Mean : 0.7231110251117991, ClusteringCoefficient_SD : 0.06418200759509458}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 6., RadiusMean : 6.6157351677509535, NReferenceVertices : 20., CLog_Mean : 1.715076270988795, CLog_SD : 0.1748155621006583, MeanShellSize_Mean : 80.55, MeanShellSize_SD : 7.776313563095237, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.3968873124878245, MeanLogShellSize_SD : 0.09555389577962543, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.2493851760742105, MeanLogMultiplicityByShell_SD : 0.43912290478793875, StdLogMultiplicityByShell_Mean : 1.5414247241329289, StdLogMultiplicityByShell_SD : 0.18284049282782733, Degree_Mean : 17.4, Degree_SD : 1.5355437918998291, ClusteringCoefficient_Mean : 0.6309169983782985, ClusteringCoefficient_SD : 0.10364977854736841}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 3., RadiusMean : 4.176606999894091, NReferenceVertices : 20., CLog_Mean : 1.7898640593378112, CLog_SD : 0.10509528703675744, MeanShellSize_Mean : 99.2, MeanShellSize_SD : 8.243657849331333, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.6037912766224105, MeanLogShellSize_SD : 0.08540028172453781, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.215218640461677, MeanLogMultiplicityByShell_SD : 0.23623509466531126, StdLogMultiplicityByShell_Mean : 1.6103579764053504, StdLogMultiplicityByShell_SD : 0.11523565729400635, Degree_Mean : 18.7, Degree_SD : 1.8945906376340316, ClusteringCoefficient_Mean : 0.5973324130290074, ClusteringCoefficient_SD : 0.05125136747571743}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 10., RadiusMean : 9.865684113612534, NReferenceVertices : 20., CLog_Mean : 1.8213907751583036, CLog_SD : 0.15342112427559496, MeanShellSize_Mean : 68.35, MeanShellSize_SD : 6.243101455965111, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.235458274223624, MeanLogShellSize_SD : 0.08758182523771142, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.1388258182110222, MeanLogMultiplicityByShell_SD : 0.33213203384156575, StdLogMultiplicityByShell_Mean : 1.645561867672651, StdLogMultiplicityByShell_SD : 0.17181427665401117, Degree_Mean : 20.2, Degree_SD : 1.6415653633362466, ClusteringCoefficient_Mean : 0.5851750433201504, ClusteringCoefficient_SD : 0.051279670020347515}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 8., RadiusMean : 8.365630325841684, NReferenceVertices : 20., CLog_Mean : 1.765765907622173, CLog_SD : 0.15515560615231097, MeanShellSize_Mean : 75.55, MeanShellSize_SD : 8.159431094719391, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.332534007976539, MeanLogShellSize_SD : 0.10688826187781068, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.1954719909065306, MeanLogMultiplicityByShell_SD : 0.35927773539897195, StdLogMultiplicityByShell_Mean : 1.5941152905484732, StdLogMultiplicityByShell_SD : 0.15677287399244066, Degree_Mean : 17.55, Degree_SD : 1.4680814547887788, ClusteringCoefficient_Mean : 0.5896786138697903, ClusteringCoefficient_SD : 0.06904700731844104}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 4., RadiusMean : 5.028494131159206, NReferenceVertices : 20., CLog_Mean : 1.7252412540751323, CLog_SD : 0.13436301071105952, MeanShellSize_Mean : 98.7, MeanShellSize_SD : 7.726236913407798, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.599250970673929, MeanLogShellSize_SD : 0.07877494560079525, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.354040366704278, MeanLogMultiplicityByShell_SD : 0.29573368658884375, StdLogMultiplicityByShell_Mean : 1.5339818783571593, StdLogMultiplicityByShell_SD : 0.14401105750748155, Degree_Mean : 17.65, Degree_SD : 2.084403234046921, ClusteringCoefficient_Mean : 0.5792958792975618, ClusteringCoefficient_SD : 0.06921431490713735}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 9., RadiusMean : 9.031162501070822, NReferenceVertices : 20., CLog_Mean : 1.743475620057787, CLog_SD : 0.17304820662502865, MeanShellSize_Mean : 74.65, MeanShellSize_SD : 8.99283340397113, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.319449020809405, MeanLogShellSize_SD : 0.11845307503041391, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.0120324840080306, MeanLogMultiplicityByShell_SD : 0.32510663536251, StdLogMultiplicityByShell_Mean : 1.594114469178746, StdLogMultiplicityByShell_SD : 0.17621359755261506, Degree_Mean : 19., Degree_SD : 2.127513992779762, ClusteringCoefficient_Mean : 0.5729530320900289, ClusteringCoefficient_SD : 0.053301034017509415}"
