"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 11., RadiusMean : 10.78996956662807, NReferenceVertices : 86., CLog_Mean : 1.070212483123712, CLog_SD : 0.14859453099913145, MeanShellSize_Mean : 31.848837209302324, MeanShellSize_SD : 6.7432187145317295, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.4699380890544185, MeanLogShellSize_SD : 0.21442250792951717, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.6764503772922856, MeanLogMultiplicityByShell_SD : 0.3671058585048805, StdLogMultiplicityByShell_Mean : 0.9763541691543162, StdLogMultiplicityByShell_SD : 0.1576152493808394, Degree_Mean : 14.406976744186046, Degree_SD : 3.3374097281530255, ClusteringCoefficient_Mean : 0.6221567020714064, ClusteringCoefficient_SD : 0.09174758397582579}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 9., RadiusMean : 9.097516908369172, NReferenceVertices : 82., CLog_Mean : 1.1243313857729218, CLog_SD : 0.16397140689954828, MeanShellSize_Mean : 50.146341463414636, MeanShellSize_SD : 9.0678130419327, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.9178437246071223, MeanLogShellSize_SD : 0.1895413204798803, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.7915414739361706, MeanLogMultiplicityByShell_SD : 0.32563625534480933, StdLogMultiplicityByShell_Mean : 1.0221405578091127, StdLogMultiplicityByShell_SD : 0.1615689072281662, Degree_Mean : 17.853658536585368, Degree_SD : 4.175537080023912, ClusteringCoefficient_Mean : 0.6089450279912674, ClusteringCoefficient_SD : 0.08783084972026776}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 11., RadiusMean : 10.78996956662807, NReferenceVertices : 86., CLog_Mean : 1.1582284079666565, CLog_SD : 0.15984651793866772, MeanShellSize_Mean : 40.383720930232556, MeanShellSize_SD : 6.695333940889532, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.709583199061866, MeanLogShellSize_SD : 0.1655664442154554, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.9808097900225083, MeanLogMultiplicityByShell_SD : 0.25643643787063525, StdLogMultiplicityByShell_Mean : 1.0522295053375088, StdLogMultiplicityByShell_SD : 0.15979285481738423, Degree_Mean : 17.96511627906977, Degree_SD : 1.7653373243301267, ClusteringCoefficient_Mean : 0.6801231844803627, ClusteringCoefficient_SD : 0.08242875285100176}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 7., RadiusMean : 7.492894226821613, NReferenceVertices : 77., CLog_Mean : 1.1384841665204264, CLog_SD : 0.09783716503658647, MeanShellSize_Mean : 68.44155844155844, MeanShellSize_SD : 8.283613352328906, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.2333561609699935, MeanLogShellSize_SD : 0.12084719557964688, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8255010986609235, MeanLogMultiplicityByShell_SD : 0.19261801837661593, StdLogMultiplicityByShell_Mean : 1.0316472048997565, StdLogMultiplicityByShell_SD : 0.1076206870762184, Degree_Mean : 17.38961038961039, Degree_SD : 1.5057420286133814, ClusteringCoefficient_Mean : 0.5803948735598659, ClusteringCoefficient_SD : 0.08445416710568703}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 2., RadiusMean : 3.4153830210796823, NReferenceVertices : 81., CLog_Mean : 1.1984352649047378, CLog_SD : 0.08984688630933874, MeanShellSize_Mean : 54.148148148148145, MeanShellSize_SD : 7.5218201107031115, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.0006998647943774, MeanLogShellSize_SD : 0.13818208775799326, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8452509583589214, MeanLogMultiplicityByShell_SD : 0.20151898625124115, StdLogMultiplicityByShell_Mean : 1.095608418130807, StdLogMultiplicityByShell_SD : 0.09666357980996478, Degree_Mean : 19.80246913580247, Degree_SD : 2.2103153230162644, ClusteringCoefficient_Mean : 0.5743494431385231, ClusteringCoefficient_SD : 0.05804516572613942}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 5., RadiusMean : 5.844938971895935, NReferenceVertices : 82., CLog_Mean : 1.129072210273759, CLog_SD : 0.07644297416522511, MeanShellSize_Mean : 71.71951219512195, MeanShellSize_SD : 7.192716463859748, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.281748764588183, MeanLogShellSize_SD : 0.09943263267279176, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.683694964118129, MeanLogMultiplicityByShell_SD : 0.1970810368837503, StdLogMultiplicityByShell_Mean : 1.0284292840957285, StdLogMultiplicityByShell_SD : 0.0870228887423616, Degree_Mean : 17.853658536585368, Degree_SD : 1.3977225851982003, ClusteringCoefficient_Mean : 0.5975274598500078, ClusteringCoefficient_SD : 0.07554633859827653}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 1., RadiusMean : 2.604219141781288, NReferenceVertices : 84., CLog_Mean : 1.2056665225872096, CLog_SD : 0.11694338940679576, MeanShellSize_Mean : 50.42857142857143, MeanShellSize_SD : 6.380100301900149, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.932136556345726, MeanLogShellSize_SD : 0.13003442057869918, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8496627630102114, MeanLogMultiplicityByShell_SD : 0.24070640407335706, StdLogMultiplicityByShell_Mean : 1.102809051966234, StdLogMultiplicityByShell_SD : 0.12832381976929802, Degree_Mean : 17.666666666666668, Degree_SD : 2.0960854699149927, ClusteringCoefficient_Mean : 0.6430431764157942, ClusteringCoefficient_SD : 0.07864392462168922}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 12., RadiusMean : 11.577464294180814, NReferenceVertices : 99., CLog_Mean : 1.1535343867272037, CLog_SD : 0.14278927417073395, MeanShellSize_Mean : 38.313131313131315, MeanShellSize_SD : 6.219860331535219, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.659393217100091, MeanLogShellSize_SD : 0.15632363332706384, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.011071902190679, MeanLogMultiplicityByShell_SD : 0.2273413897860999, StdLogMultiplicityByShell_Mean : 1.0444197862080011, StdLogMultiplicityByShell_SD : 0.1492468020100371, Degree_Mean : 16.494949494949495, Degree_SD : 0.8252858178211239, ClusteringCoefficient_Mean : 0.6968513827646954, ClusteringCoefficient_SD : 0.07783560611962399}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 6., RadiusMean : 6.631998913290603, NReferenceVertices : 82., CLog_Mean : 1.0982833407963455, CLog_SD : 0.09111767457709992, MeanShellSize_Mean : 71.02439024390245, MeanShellSize_SD : 7.774563795879479, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.271221090834945, MeanLogShellSize_SD : 0.1084356851588059, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.7098126216476228, MeanLogMultiplicityByShell_SD : 0.19715758971392053, StdLogMultiplicityByShell_Mean : 0.9961528049713648, StdLogMultiplicityByShell_SD : 0.09906191341977671, Degree_Mean : 17.695121951219512, Degree_SD : 1.488134339401113, ClusteringCoefficient_Mean : 0.5947896702540664, ClusteringCoefficient_SD : 0.09246867111707915}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 3., RadiusMean : 4.23647466761002, NReferenceVertices : 79., CLog_Mean : 1.1605205184393057, CLog_SD : 0.09777604279887973, MeanShellSize_Mean : 59.037974683544306, MeanShellSize_SD : 6.467756393725851, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.089223029639043, MeanLogShellSize_SD : 0.1081929546018009, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8754546692349683, MeanLogMultiplicityByShell_SD : 0.18884102367843703, StdLogMultiplicityByShell_Mean : 1.0543704425982332, StdLogMultiplicityByShell_SD : 0.10450572103684483, Degree_Mean : 18.139240506329113, Degree_SD : 1.5830364948349192, ClusteringCoefficient_Mean : 0.5706901354645569, ClusteringCoefficient_SD : 0.06024744306368306}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 10., RadiusMean : 9.95982155887775, NReferenceVertices : 95., CLog_Mean : 1.2012127095853866, CLog_SD : 0.12396685419935186, MeanShellSize_Mean : 45.17894736842105, MeanShellSize_SD : 6.89122004972967, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.8213382577470756, MeanLogShellSize_SD : 0.151352227818872, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8823335379028028, MeanLogMultiplicityByShell_SD : 0.21783868937884035, StdLogMultiplicityByShell_Mean : 1.0984133148381447, StdLogMultiplicityByShell_SD : 0.13045165565852423, Degree_Mean : 20.263157894736842, Degree_SD : 2.174369687664409, ClusteringCoefficient_Mean : 0.5948257529603534, ClusteringCoefficient_SD : 0.06208088787443959}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 8., RadiusMean : 8.353125315908303, NReferenceVertices : 83., CLog_Mean : 1.1468164709777497, CLog_SD : 0.10259959711746539, MeanShellSize_Mean : 57.80722891566265, MeanShellSize_SD : 6.288700341369744, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.068614829701123, MeanLogShellSize_SD : 0.10703794479223075, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8450014014607516, MeanLogMultiplicityByShell_SD : 0.17665045104114258, StdLogMultiplicityByShell_Mean : 1.0393920131215018, StdLogMultiplicityByShell_SD : 0.11426755416541054, Degree_Mean : 17.783132530120483, Degree_SD : 1.9633731102432994, ClusteringCoefficient_Mean : 0.5820915250555038, ClusteringCoefficient_SD : 0.07406923169848717}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 4., RadiusMean : 5.068837320933002, NReferenceVertices : 70., CLog_Mean : 1.145468745439081, CLog_SD : 0.09363983279948614, MeanShellSize_Mean : 66.8, MeanShellSize_SD : 7.832670338887063, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.209808520346202, MeanLogShellSize_SD : 0.11791604222353694, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8256891701927411, MeanLogMultiplicityByShell_SD : 0.18955521063476666, StdLogMultiplicityByShell_Mean : 1.0388512487502328, StdLogMultiplicityByShell_SD : 0.09910616653247574, Degree_Mean : 17.514285714285716, Degree_SD : 1.6658797314041327, ClusteringCoefficient_Mean : 0.5561968204520557, ClusteringCoefficient_SD : 0.06733615359288135}"
"{GraphName : SchwarzschildFlamm_matchedFlatOriginal, GraphConstruction : matchedFlatOriginalKNN, RadialBin : 9., RadiusMean : 9.097516908369172, NReferenceVertices : 82., CLog_Mean : 1.1511129643564042, CLog_SD : 0.10868641348752084, MeanShellSize_Mean : 50.9390243902439, MeanShellSize_SD : 7.083884616413302, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.9408288021125215, MeanLogShellSize_SD : 0.13729519583980448, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.8990171012014754, MeanLogMultiplicityByShell_SD : 0.2066406849769741, StdLogMultiplicityByShell_Mean : 1.0387236044451609, StdLogMultiplicityByShell_SD : 0.11716688492528411, Degree_Mean : 19.4390243902439, Degree_SD : 2.347036802541492, ClusteringCoefficient_Mean : 0.5681729836213996, ClusteringCoefficient_SD : 0.059889981193993656}"
